model,N,param,b_over_c,r,delta,rule,pi_init,bc_star_single,bc_star_two,rho_C_two_sim,se_two,rho_C_single_sim,se_single,rho_C_two_pred,rho_C_single_pred
BA,15,2.0,4.0,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1328733333333333,0.000619725774361,0.1295266666666666,0.0006130511378585,0.1325877976741976,0.1291165663356415
BA,15,2.0,4.571428571428571,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1343966666666666,0.0006227203830922,0.1300766666666666,0.0006141572205213,0.1334976860447683,0.1300264547062122
BA,15,2.0,5.142857142857142,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1339533333333333,0.0006218516377781,0.1301633333333333,0.0006143311810114,0.134407574415339,0.1309363430767828
BA,15,2.0,5.714285714285714,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.13414,0.0006222177014518,0.13154,0.0006170824591035,0.1353174627859096,0.1318462314473535
BA,15,2.0,6.285714285714286,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1361633333333333,0.0006261599369407,0.13282,0.0006196204418835,0.1362273511564803,0.1327561198179242
BA,15,2.0,6.857142857142857,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1359433333333333,0.0006257335520692,0.13294,0.0006198573932768,0.1371372395270509,0.1336660081884949
BA,15,2.0,7.428571428571429,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1381766666666666,0.000630036706485,0.1342433333333333,0.0006224201710229,0.1380471278976216,0.1345758965590655
BA,15,2.0,8.0,5.0,0.02,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1386,0.0006308460985058,0.1351966666666666,0.0006242823292626,0.1389570162681923,0.1354857849296362
ER,30,0.2,7.0,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.04996,0.0004871549979216,0.04869,0.0004812446565937,0.0506088297168526,0.0487868877083278
ER,30,0.2,7.571428571428571,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.052015,0.0004965351939943,0.04923,0.0004837685763875,0.0513204176738829,0.0494984756653581
ER,30,0.2,8.142857142857142,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.051935,0.0004961741416831,0.05061,0.0004901460389516,0.0520320056309133,0.0502100636223885
ER,30,0.2,8.714285714285714,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.051845,0.0004957675663806,0.05103,0.0004920667591902,0.0527435935879436,0.0509216515794188
ER,30,0.2,9.285714285714285,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.05285,0.0005002843066697,0.051775,0.0004954510539649,0.0534551815449739,0.0516332395364491
ER,30,0.2,9.857142857142858,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.05396,0.0005052144020116,0.05165,0.0004948852265929,0.0541667695020042,0.0523448274934794
ER,30,0.2,10.428571428571429,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.05394,0.000505126105047,0.052175,0.00049725631909,0.0548783574590345,0.0530564154505097
ER,30,0.2,11.0,5.0,0.02,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.05633,0.0005155430685209,0.05311,0.0005014445527673,0.0555899454160648,0.05376800340754
BA,30,2.0,3.5,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.10449,0.0006840023388117,0.101425,0.0006750480330132,0.1041936086923154,0.10116998880994
BA,30,2.0,3.928571428571429,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.105195,0.0006860357569944,0.10292,0.000679439009772,0.1054615109213302,0.1024378910389548
BA,30,2.0,4.357142857142857,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.106745,0.0006904726822076,0.103965,0.0006824817901416,0.106729413150345,0.1037057932679696
BA,30,2.0,4.785714285714286,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.108765,0.0006961866659704,0.10417,0.0006830761710819,0.1079973153793598,0.1049736954969844
BA,30,2.0,5.214285714285714,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.10869,0.0006959758756594,0.104935,0.0006852869682658,0.1092652176083746,0.1062415977259992
BA,30,2.0,5.642857142857142,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.109885,0.0006993221245427,0.10695,0.0006910560668281,0.1105331198373893,0.107509499955014
BA,30,2.0,6.071428571428571,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.11226,0.000705895503598,0.108885,0.0006965237137922,0.1118010220664041,0.1087774021840288
BA,30,2.0,6.5,5.0,0.02,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.114355,0.0007116106167525,0.108485,0.0006953991831135,0.1130689242954189,0.1100453044130436
BA,50,2.0,3.0,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.07417,0.0008286664654732,0.06976,0.0008055652822707,0.0732398599660923,0.0708617610200611
BA,50,2.0,3.4285714285714284,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.07436,0.0008296420336506,0.07104,0.0008123627170174,0.0748242740677069,0.0724461751216757
BA,50,2.0,3.857142857142857,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.07676,0.0008418307573378,0.07474,0.000831588434263,0.0764086881693216,0.0740305892232904
BA,50,2.0,4.285714285714286,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.0775,0.0008455397684319,0.07606,0.0008383011177375,0.0779931022709363,0.0756150033249051
BA,50,2.0,4.714285714285714,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.0799,0.0008574146604764,0.07643,0.0008401693585224,0.0795775163725509,0.0771994174265198
BA,50,2.0,5.142857142857142,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.08266,0.0008707888630431,0.07955,0.0008556973618049,0.0811619304741656,0.0787838315281344
BA,50,2.0,5.571428571428571,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.08223,0.0008687245081152,0.0806,0.000860834711196,0.0827463445757803,0.0803682456297491
BA,50,2.0,6.0,5.0,0.02,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.08561,0.000884765098204,0.08137,0.0008645745953935,0.084330758677395,0.0819526597313638
ER,100,0.1,10.0,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.006265,0.0001764334120142,0.006195,0.0001754511609394,0.0061769160522589,0.0058933227977862
ER,100,0.1,10.714285714285714,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.00691,0.000185232987073,0.006175,0.0001751694804325,0.006546877055096,0.0062632838006233
