network,N,E,n_finite,n_pos_bc_single,all_init_cooperative,bc_single_min,bc_single_max,bc_single_median,R_degree,p_degree,R_closeness,p_closeness,R_betweenness,p_betweenness,R_clustering,p_clustering
ER N=15 p=0.1 (G1),10,9,10,10,True,2.2119620578655956,2.5953503328260967,2.475878335697137,0.46280217444049526,0.1780126374849658,0.9142754676158943,0.00021281763174902933,0.8724004899388323,0.000991461126144887,,
BA N=15 m=2 (G1),15,26,15,15,True,5.973076429428191,8.97709521073464,7.496263342627189,0.14560759292331976,0.6046078034853485,0.30133797197131124,0.27507451128601007,0.1331739600449631,0.6361050929106543,0.27432003455807785,0.32245770353337716
ER N=30 p=0.1 (G1),29,48,29,29,True,3.6708455835466083,4.480455211186723,4.209996867480429,0.45836417521445033,0.012395897576229081,0.6652986007019575,8.222235765391512e-05,-0.001804286931033388,0.9925885816454195,0.24689679529885347,0.1966364982869344
BA N=30 m=2 (G1),30,56,30,30,True,4.777674049961585,6.4247506080047545,5.7831928169421065,-0.090968170117267,0.6325968649800693,0.1933781226832102,0.3058943427180816,-0.06134984634738604,0.7474131773270575,0.6264009132648775,0.00021295988716541029
ER N=50 p=0.1 (G1),50,132,50,50,True,5.4711088290064005,7.061830572750497,6.910554581837333,0.5407869609970058,5.025659575354716e-05,0.7751564031716347,3.898367566230791e-11,0.1299604146703801,0.36836565316516146,0.3429764571604026,0.01475519060284303
BA N=50 m=2 (G1),50,96,50,50,True,4.5686574725829425,5.094050491565783,4.789443790840636,-0.1095474063098124,0.4488651497794648,0.27532060303331424,0.052971685507358035,-0.056295661001815905,0.6977864187770064,0.5100445650047335,0.0001545128782119024
ER N=75 p=0.1 (G1),75,278,75,75,True,8.747561838252166,9.512956639206132,9.353711944021045,0.4929896592186482,7.008753721650192e-06,0.6339807422077964,1.0230240044616709e-09,0.15913666090026324,0.17265429242276392,0.2948246392014692,0.010237016982309164
BA N=75 m=2 (G1),75,146,75,75,True,4.35633374959924,4.8893202657351456,4.625610255004525,-0.10432286532590664,0.3730784519888539,0.4300924110003449,0.00011756241490813108,-0.06301309889289455,0.5912137698069221,0.5809230815388622,4.654934463225978e-08
ER N=100 p=0.1 (G1),100,526,100,100,True,12.834980663123293,13.484692839180195,13.351886739479603,0.5485769020594612,3.449227500732596e-09,0.6672145759335687,3.462028474936124e-14,0.18139353822296106,0.0708957591377068,0.3129187129517045,0.0015251770812569163
BA N=100 m=2 (G1),100,196,100,100,True,4.197186314526315,4.504036157102349,4.363227479614986,-0.09153604853689125,0.3650652368541253,0.3829462427638678,8.413229255901343e-05,-0.05804924007357391,0.566185542836156,0.39563860499035364,4.617703392254911e-05
Empirical VC7 (layer 1),29,240,29,0,False,-85.61244615670819,-53.13159706689443,-58.46461901183877,0.8429886817276534,9.552751686594792e-09,0.7554534626489088,2.1652623048559224e-06,0.3867387370221164,0.03822219284847484,-0.4960257507123853,0.006208648529721274
Empirical Law (layer 1),71,717,71,71,True,51.99599482203426,63.04300997360511,58.02746363285587,0.8035757188137248,3.345719294857326e-17,0.7695212909203191,4.491496791851671e-15,0.5071537178052244,6.376678220500526e-06,-0.16875936394808916,0.159467597295757
