network,N,E,R_degree,R_closeness,R_betweenness,R_clustering
ER N=15 p=0.1 (G1),10,9,0.46280217444049526,0.9142754676158943,0.8724004899388323,
BA N=15 m=2 (G1),15,26,0.14560759292331976,0.30133797197131124,0.1331739600449631,0.27432003455807785
ER N=30 p=0.1 (G1),29,48,0.45836417521445033,0.6652986007019575,-0.001804286931033388,0.24689679529885347
BA N=30 m=2 (G1),30,56,-0.090968170117267,0.1933781226832102,-0.06134984634738604,0.6264009132648775
ER N=50 p=0.1 (G1),50,132,0.5407869609970058,0.7751564031716347,0.1299604146703801,0.3429764571604026
BA N=50 m=2 (G1),50,96,-0.1095474063098124,0.27532060303331424,-0.056295661001815905,0.5100445650047335
ER N=75 p=0.1 (G1),75,278,0.4929896592186482,0.6339807422077964,0.15913666090026324,0.2948246392014692
BA N=75 m=2 (G1),75,146,-0.10432286532590664,0.4300924110003449,-0.06301309889289455,0.5809230815388622
ER N=100 p=0.1 (G1),100,526,0.5485769020594612,0.6672145759335687,0.18139353822296106,0.3129187129517045
BA N=100 m=2 (G1),100,196,-0.09153604853689125,0.3829462427638678,-0.05804924007357391,0.39563860499035364
Empirical Law (layer 1),71,717,0.8035757188137248,0.7695212909203191,0.5071537178052244,-0.16875936394808916
