property,layer,Pearson_R,p_value,n
mean degree <k>,layer 1,0.640555474578568,0.03372559667082532,11
mean degree <k>,layer 2,0.4461928772552197,0.16894111547263638,11
maximum degree,layer 1,0.4812577122145552,0.13395213476252382,11
maximum degree,layer 2,0.24626241307806812,0.46541024206936243,11
variance of degree,layer 1,0.7364266593432253,0.009750016159180013,11
variance of degree,layer 2,0.6796827910765234,0.02140548011896565,11
mean closeness,layer 1,0.7502108378935515,0.00782524359472771,11
mean closeness,layer 2,0.5136427937287626,0.10606905004921191,11
clustering coefficient,layer 1,0.8343774870387863,0.0014033081289022138,11
clustering coefficient,layer 2,0.9543619268381651,5.0788280180449344e-06,11
diameter,layer 1,-0.5324727137299081,0.09174510342669641,11
diameter,layer 2,-0.7129154108752475,0.031096381252095073,9
algebraic connectivity,layer 1,0.8124704834979857,0.0023732996296934226,11
algebraic connectivity,layer 2,-0.2917638468386332,0.383998013112927,11
