network,N,E1,E2,all_init_cooperative,mean_abs_slope,L1_mean_degree,L1_max_degree,L1_var_degree,L1_mean_closeness,L1_clustering,L1_diameter,L1_alg_connectivity,L2_mean_degree,L2_max_degree,L2_var_degree,L2_mean_closeness,L2_clustering,L2_diameter,L2_alg_connectivity
ER N=15 p=0.1,10,9,9,True,0.30711888526547343,1.8,2.0,0.16,0.28537983144434764,0.0,9.0,0.09788696740969292,1.8,4.0,0.7600000000000001,0.2770061728395062,0.2166666666666667,,0.0
BA N=15 m=2,15,26,26,True,0.6493012080567236,3.466666666666667,9.0,3.9822222222222226,0.5090632702085066,0.3485185185185185,3.0,0.8543120758615144,3.466666666666667,7.0,3.4488888888888893,0.5145999328727078,0.42158730158730157,3.0,0.9566895832895863
ER N=30 p=0.1,28,44,40,True,0.14488340884536874,3.142857142857143,6.0,1.336734693877551,0.34274458779926753,0.10833333333333332,6.0,0.3791360927881412,2.857142857142857,5.0,1.336734693877551,0.3126643855908836,0.07261904761904761,7.0,0.18102047311355204
BA N=30 m=2,30,56,56,True,0.31499914596753575,3.7333333333333334,14.0,9.462222222222222,0.44308280067173483,0.265998445998446,4.0,0.6717949120857305,3.7333333333333334,16.0,10.462222222222225,0.4460580673993559,0.28589743589743594,4.0,0.7063686674074275
ER N=50 p=0.1,50,132,114,True,0.1498097306655403,5.28,12.0,4.8016000000000005,0.40436142151127524,0.10636652236652236,6.0,0.31874458835943326,4.56,10.0,4.6064,0.3846751923059142,0.09117460317460317,5.0,0.6792829044360496
BA N=50 m=2,50,96,96,True,0.1496635734210114,3.84,18.0,9.214400000000001,0.3757399583926517,0.23193718699601049,5.0,0.5360894398994656,3.84,15.0,7.694400000000001,0.3740158332390399,0.1514011544011544,5.0,0.6606838470032733
ER N=75 p=0.1,75,278,257,True,0.13576346254635566,7.413333333333333,15.0,7.842488888888888,0.4264365939669369,0.11402279202279199,5.0,0.7843358566403048,6.8533333333333335,13.0,6.525155555555555,0.40878519596761187,0.09513634513634513,5.0,0.6522673005938042
BA N=75 m=2,75,146,146,True,0.11764058088700513,3.8933333333333335,29.0,15.028622222222227,0.36251884185995614,0.19085979665290012,6.0,0.5862063776209104,3.8933333333333335,23.0,13.455288888888887,0.36429286074117057,0.15169432499867283,5.0,0.6743716378503103
ER N=100 p=0.1,100,526,472,True,0.1399910088769515,10.52,18.0,9.309600000000001,0.45851897667123703,0.10829285093990976,4.0,0.8744460941381194,9.44,17.0,7.406399999999999,0.4415622883767113,0.1019063534504711,4.0,2.4537077335299537
BA N=100 m=2,100,196,196,True,0.07031782411784494,3.92,20.0,10.8336,0.32726169286715084,0.13254563272984324,6.0,0.5227918933202255,3.92,21.0,13.133600000000001,0.34069768424963315,0.0954703548085901,6.0,0.5907051581766082
Empirical VC7,29,240,126,False,2.4679595800855547,16.551724137931036,28.0,27.2128418549346,0.7227769637533648,0.7536970255663542,2.0,5.338337780202136,8.689655172413794,23.0,20.765755053507725,0.5664286071682303,0.6806935653835733,3.0,0.8515202378691398
Empirical Law,71,717,399,True,0.9705700405649859,20.197183098591548,46.0,67.65125967070026,0.5676562374099523,0.5217772206760343,3.0,2.8114706907889757,11.23943661971831,28.0,44.46379686570124,0.4405037066926256,0.4837560046009802,,0.0
