network,N,E1,E2,all_init_cooperative,n_pos_bc_single,mean_abs_slope,median_abs_slope,mean_degree,mean_closeness,mean_betweenness,clustering
ER N=15 p=0.1,10,9,9,True,10,0.30711888526547343,0.29841357914708966,1.8,0.28537983144434764,0.33333333333333337,0.0
BA N=15 m=2,15,26,26,True,15,0.6493012080567236,0.6708525539135728,3.466666666666667,0.5090632702085066,0.07838827838827836,0.3485185185185185
ER N=30 p=0.1,28,44,40,True,28,0.14488340884536874,0.14857431825697778,3.142857142857143,0.34274458779926753,0.0752950752950753,0.10833333333333332
BA N=30 m=2,30,56,56,True,30,0.31499914596753575,0.3116323843221338,3.7333333333333334,0.44308280067173483,0.04663382594417076,0.265998445998446
ER N=50 p=0.1,50,132,114,True,50,0.1498097306655403,0.15555588143765958,5.28,0.40436142151127524,0.03168367346938775,0.10636652236652236
BA N=50 m=2,50,96,96,True,50,0.1496635734210114,0.1475465467801137,3.84,0.3757399583926517,0.035663265306122446,0.23193718699601049
ER N=75 p=0.1,75,278,257,True,75,0.13576346254635566,0.13685426500604245,7.413333333333333,0.4264365939669369,0.01871899296556831,0.11402279202279199
BA N=75 m=2,75,146,146,True,75,0.11764058088700513,0.1161534006923918,3.8933333333333335,0.36251884185995614,0.024780945328890535,0.19085979665290012
ER N=100 p=0.1,100,526,472,True,100,0.1399910088769515,0.1400679716175539,10.52,0.45851897667123703,0.012166563595135023,0.10829285093990976
BA N=100 m=2,100,196,196,True,100,0.07031782411784494,0.06937461034763859,3.92,0.32726169286715084,0.021469800041228608,0.13254563272984324
Empirical VC7,29,240,126,False,0,2.4679595800855547,2.3325117912673474,16.551724137931036,0.7227769637533648,0.015143222039773765,0.7536970255663542
Empirical Law,71,717,399,True,71,0.9705700405649859,0.9779319169641391,20.197183098591548,0.5676562374099523,0.011320094479923017,0.5217772206760343
